,index,Date/Time,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
3473,3473,2012-05-24 17:00:00,27.6,17.3,53,22,24.1,101.21,Mainly Clear
3474,3474,2012-05-24 18:00:00,25.5,16.5,58,24,24.1,101.23,Mostly Cloudy
3475,3475,2012-05-24 19:00:00,24.4,16.4,61,15,24.1,101.25,Mainly Clear
3476,3476,2012-05-24 20:00:00,23.1,16.1,65,19,24.1,101.3,Clear
3477,3477,2012-05-24 21:00:00,22.4,15.9,67,19,25.0,101.31,Clear
3478,3478,2012-05-24 22:00:00,21.9,15.5,67,22,25.0,101.35,Clear
3479,3479,2012-05-24 23:00:00,21.1,15.2,69,19,25.0,101.39,Clear
3480,3480,2012-05-25 00:00:00,20.7,15.3,71,13,25.0,101.43,Clear
3481,3481,2012-05-25 01:00:00,19.7,15.6,77,15,25.0,101.4,Clear
3482,3482,2012-05-25 02:00:00,19.4,15.6,79,15,25.0,101.41,Clear
3483,3483,2012-05-25 03:00:00,19.2,15.3,78,17,25.0,101.42,Mainly Clear
3484,3484,2012-05-25 04:00:00,19.1,15.3,79,19,24.1,101.44,Mainly Clear
3485,3485,2012-05-25 05:00:00,19.0,15.5,80,17,24.1,101.45,Mostly Cloudy
3486,3486,2012-05-25 06:00:00,20.6,15.7,73,17,24.1,101.44,Mainly Clear
3487,3487,2012-05-25 07:00:00,21.6,15.9,70,20,24.1,101.42,Mainly Clear
3488,3488,2012-05-25 08:00:00,22.8,16.1,66,20,24.1,101.36,Mainly Clear
3489,3489,2012-05-25 09:00:00,23.3,16.1,64,20,24.1,101.29,Clear
3490,3490,2012-05-25 10:00:00,24.9,16.5,60,20,24.1,101.21,Mainly Clear
3491,3491,2012-05-25 11:00:00,25.5,16.9,59,22,24.1,101.12,Mostly Cloudy
3492,3492,2012-05-25 12:00:00,25.9,16.8,57,20,24.1,101.07,Mostly Cloudy
3493,3493,2012-05-25 13:00:00,27.2,17.5,55,28,24.1,100.97,Mostly Cloudy
3494,3494,2012-05-25 14:00:00,26.0,17.2,58,19,24.1,100.94,Mostly Cloudy
3495,3495,2012-05-25 15:00:00,27.1,17.1,54,26,24.1,100.86,Mostly Cloudy
3496,3496,2012-05-25 16:00:00,27.3,16.7,52,24,24.1,100.79,Mostly Cloudy
3497,3497,2012-05-25 17:00:00,27.2,16.7,53,19,24.1,100.72,Mostly Cloudy
3498,3498,2012-05-25 18:00:00,26.2,16.1,54,20,24.1,100.65,Mostly Cloudy
3499,3499,2012-05-25 19:00:00,26.4,16.1,53,22,25.0,100.59,Cloudy
3500,3500,2012-05-25 20:00:00,21.3,18.3,83,13,16.1,100.83,"Thunderstorms,Rain"
3501,3501,2012-05-25 21:00:00,22.1,18.5,80,15,25.0,100.79,Mainly Clear
3502,3502,2012-05-25 22:00:00,21.5,18.1,81,11,25.0,100.88,Mainly Clear
3503,3503,2012-05-25 23:00:00,21.3,15.4,69,17,25.0,100.96,Clear
3504,3504,2012-05-26 00:00:00,19.8,14.8,73,9,25.0,101.0,Clear
3505,3505,2012-05-26 01:00:00,19.3,14.0,71,13,25.0,101.09,Clear
3506,3506,2012-05-26 02:00:00,18.6,12.3,67,11,25.0,101.16,Clear
3507,3507,2012-05-26 03:00:00,17.1,10.5,65,13,25.0,101.21,Clear
3508,3508,2012-05-26 04:00:00,16.4,10.1,66,9,25.0,101.28,Clear
3509,3509,2012-05-26 05:00:00,16.3,9.8,65,9,24.1,101.36,Mainly Clear
3510,3510,2012-05-26 06:00:00,17.1,10.0,63,9,48.3,101.37,Clear
3511,3511,2012-05-26 07:00:00,18.1,10.8,62,9,48.3,101.51,Clear
3512,3512,2012-05-26 08:00:00,19.4,12.2,63,6,48.3,101.56,Clear
3513,3513,2012-05-26 09:00:00,21.1,12.7,59,9,24.1,101.56,Clear
3514,3514,2012-05-26 10:00:00,21.6,12.5,56,7,19.3,101.6,Mostly Cloudy
3515,3515,2012-05-26 11:00:00,22.6,12.5,53,0,16.1,101.6,Clear
3516,3516,2012-05-26 12:00:00,23.3,12.8,52,13,16.1,101.56,Mainly Clear
3517,3517,2012-05-26 13:00:00,24.4,9.9,40,30,19.3,101.53,Mainly Clear
3518,3518,2012-05-26 14:00:00,24.2,10.6,42,22,19.3,101.54,Mainly Clear
3519,3519,2012-05-26 15:00:00,23.2,10.2,44,20,24.1,101.54,Mainly Clear
3520,3520,2012-05-26 16:00:00,23.8,10.2,42,22,24.1,101.52,Mostly Cloudy
3521,3521,2012-05-26 17:00:00,23.1,9.4,42,19,24.1,101.49,Mostly Cloudy
3522,3522,2012-05-26 18:00:00,22.2,8.6,42,20,24.1,101.51,Mostly Cloudy
3523,3523,2012-05-26 19:00:00,21.0,7.7,42,13,24.1,101.56,Mainly Clear
3524,3524,2012-05-26 20:00:00,18.5,7.4,48,9,24.1,101.64,Mainly Clear
3525,3525,2012-05-26 21:00:00,16.6,7.5,55,7,25.0,101.71,Mainly Clear
3526,3526,2012-05-26 22:00:00,17.3,7.3,52,6,25.0,101.71,Mainly Clear
3527,3527,2012-05-26 23:00:00,15.6,7.7,59,6,25.0,101.75,Mainly Clear
3528,3528,2012-05-27 00:00:00,15.7,7.1,57,6,25.0,101.76,Clear
3529,3529,2012-05-27 01:00:00,14.6,7.4,62,9,25.0,101.77,Clear
3530,3530,2012-05-27 02:00:00,13.9,6.9,63,11,25.0,101.76,Mainly Clear
3531,3531,2012-05-27 03:00:00,14.8,3.1,45,13,25.0,101.76,Mostly Cloudy
3532,3532,2012-05-27 04:00:00,14.4,3.5,48,13,25.0,101.84,Mostly Cloudy
3533,3533,2012-05-27 05:00:00,13.7,3.9,52,13,24.1,101.9,Mostly Cloudy
3534,3534,2012-05-27 06:00:00,14.2,2.4,45,17,24.1,101.92,Mostly Cloudy
3535,3535,2012-05-27 07:00:00,14.6,4.0,49,9,48.3,101.95,Mostly Cloudy
3536,3536,2012-05-27 08:00:00,15.6,3.1,43,11,48.3,101.94,Mostly Cloudy
3537,3537,2012-05-27 09:00:00,17.1,4.6,44,9,48.3,101.95,Mostly Cloudy
3538,3538,2012-05-27 10:00:00,18.6,4.0,38,0,48.3,101.89,Mostly Cloudy
3539,3539,2012-05-27 11:00:00,19.5,3.9,36,4,48.3,101.83,Cloudy
3540,3540,2012-05-27 12:00:00,19.7,4.4,36,0,48.3,101.76,Cloudy
3541,3541,2012-05-27 13:00:00,20.2,5.4,38,13,48.3,101.68,Cloudy
3542,3542,2012-05-27 14:00:00,21.2,5.4,36,0,48.3,101.63,Cloudy
3543,3543,2012-05-27 15:00:00,20.3,5.1,37,11,48.3,101.57,Cloudy
3544,3544,2012-05-27 16:00:00,20.4,5.5,38,13,48.3,101.55,Cloudy
3545,3545,2012-05-27 17:00:00,20.3,5.3,37,6,48.3,101.49,Cloudy
3546,3546,2012-05-27 18:00:00,19.2,6.9,45,7,48.3,101.41,Rain Showers
3547,3547,2012-05-27 19:00:00,18.1,9.5,57,0,48.3,101.42,Rain
3548,3548,2012-05-27 20:00:00,18.2,8.5,53,4,25.0,101.31,Cloudy
3549,3549,2012-05-27 21:00:00,18.4,8.4,52,0,25.0,101.34,Cloudy
3550,3550,2012-05-27 22:00:00,17.5,9.1,58,0,25.0,101.33,Cloudy
3551,3551,2012-05-27 23:00:00,17.6,8.9,57,6,25.0,101.29,Mostly Cloudy
3552,3552,2012-05-28 00:00:00,17.5,10.5,63,4,25.0,101.31,Mostly Cloudy
3553,3553,2012-05-28 01:00:00,17.4,8.8,57,13,25.0,101.23,Mostly Cloudy
3554,3554,2012-05-28 02:00:00,16.6,8.3,58,11,25.0,101.19,Mostly Cloudy
3555,3555,2012-05-28 03:00:00,16.6,8.3,58,9,25.0,101.21,Cloudy
3556,3556,2012-05-28 04:00:00,16.6,8.3,58,17,25.0,101.21,Cloudy
3557,3557,2012-05-28 05:00:00,16.4,7.4,55,19,25.0,101.17,Mostly Cloudy
3558,3558,2012-05-28 06:00:00,16.4,7.3,55,24,24.1,101.31,Mostly Cloudy
3559,3559,2012-05-28 07:00:00,16.6,6.2,50,22,48.3,101.26,Mostly Cloudy
3560,3560,2012-05-28 08:00:00,16.7,7.1,53,28,48.3,101.24,Mostly Cloudy
3561,3561,2012-05-28 09:00:00,17.0,7.4,53,20,48.3,101.24,Cloudy
3562,3562,2012-05-28 10:00:00,18.0,7.6,51,22,48.3,101.21,Cloudy
3563,3563,2012-05-28 11:00:00,17.8,7.8,52,24,48.3,101.2,Cloudy
3564,3564,2012-05-28 12:00:00,16.1,8.9,62,20,24.1,101.12,Cloudy
3565,3565,2012-05-28 13:00:00,17.0,7.2,52,26,24.1,101.05,Cloudy
3566,3566,2012-05-28 14:00:00,19.1,7.8,48,28,48.3,100.98,Cloudy
3567,3567,2012-05-28 15:00:00,17.5,6.6,49,24,48.3,100.94,Cloudy
3568,3568,2012-05-28 16:00:00,17.3,6.4,49,22,24.1,100.88,Cloudy
3569,3569,2012-05-28 17:00:00,17.4,6.9,50,26,24.1,100.82,Mostly Cloudy
3570,3570,2012-05-28 18:00:00,16.8,7.1,53,26,48.3,100.81,Mostly Cloudy
3571,3571,2012-05-28 19:00:00,15.9,6.9,55,22,48.3,100.77,Mostly Cloudy
3572,3572,2012-05-28 20:00:00,15.3,7.0,58,20,48.3,100.71,Cloudy
3573,3573,2012-05-28 21:00:00,14.6,6.7,59,19,25.0,100.69,Mainly Clear
3574,3574,2012-05-28 22:00:00,14.0,7.1,63,15,25.0,100.66,Mostly Cloudy
3575,3575,2012-05-28 23:00:00,13.2,7.1,66,13,25.0,100.54,Mostly Cloudy
3576,3576,2012-05-29 00:00:00,12.7,7.2,69,15,25.0,100.44,Mostly Cloudy
3577,3577,2012-05-29 01:00:00,11.9,6.8,71,9,25.0,100.31,Mostly Cloudy
3578,3578,2012-05-29 02:00:00,12.2,6.8,70,11,25.0,100.26,Mostly Cloudy
3579,3579,2012-05-29 03:00:00,11.8,5.9,67,15,25.0,100.18,Mostly Cloudy
3580,3580,2012-05-29 04:00:00,11.4,7.0,74,30,24.1,100.34,"Thunderstorms,Rain Showers"
3581,3581,2012-05-29 05:00:00,11.0,8.9,87,15,12.9,100.14,"Thunderstorms,Rain Showers"
3582,3582,2012-05-29 06:00:00,10.9,9.0,88,9,2.4,100.26,"Thunderstorms,Heavy Rain Showers"
3583,3583,2012-05-29 07:00:00,12.4,10.3,87,6,19.3,100.23,Cloudy
3584,3584,2012-05-29 08:00:00,15.4,12.7,84,0,19.3,100.17,Mainly Clear
3585,3585,2012-05-29 09:00:00,18.6,15.1,80,4,19.3,100.12,Mainly Clear
3586,3586,2012-05-29 10:00:00,20.4,15.8,75,4,19.3,100.08,Mostly Cloudy
3587,3587,2012-05-29 11:00:00,22.2,16.9,72,7,19.3,100.08,Mostly Cloudy
3588,3588,2012-05-29 12:00:00,24.2,17.7,67,7,19.3,100.0,Mostly Cloudy
3589,3589,2012-05-29 13:00:00,26.1,18.7,64,6,16.1,99.87,Mainly Clear
3590,3590,2012-05-29 14:00:00,25.6,18.4,64,11,19.3,99.75,Rain Showers
3591,3591,2012-05-29 15:00:00,26.8,19.0,62,13,19.3,99.65,Mostly Cloudy
3592,3592,2012-05-29 16:00:00,21.0,17.5,80,15,9.7,99.75,"Thunderstorms,Rain Showers"
3593,3593,2012-05-29 17:00:00,20.7,17.4,81,13,12.9,99.84,"Thunderstorms,Rain Showers"
3594,3594,2012-05-29 18:00:00,20.4,17.6,84,28,19.3,99.78,Rain Showers
3595,3595,2012-05-29 19:00:00,20.1,17.8,87,24,16.1,99.76,Rain Showers
3596,3596,2012-05-29 20:00:00,20.2,17.9,87,11,16.1,99.8,Cloudy
3597,3597,2012-05-29 21:00:00,20.1,17.8,87,17,16.1,99.75,Cloudy
3598,3598,2012-05-29 22:00:00,20.8,17.7,82,9,19.3,99.75,Cloudy
3599,3599,2012-05-29 23:00:00,20.5,17.5,83,6,25.0,99.74,Cloudy
3600,3600,2012-05-30 00:00:00,20.6,17.1,80,17,25.0,99.77,Cloudy
3601,3601,2012-05-30 01:00:00,19.7,14.4,71,24,25.0,99.77,Mainly Clear
3602,3602,2012-05-30 02:00:00,18.6,10.5,59,22,25.0,99.88,Mainly Clear
3603,3603,2012-05-30 03:00:00,17.6,9.8,60,19,25.0,99.91,Mostly Cloudy
3604,3604,2012-05-30 04:00:00,16.6,10.3,66,13,24.1,99.98,Mostly Cloudy
3605,3605,2012-05-30 05:00:00,15.9,10.0,68,11,24.1,100.02,Mostly Cloudy
3606,3606,2012-05-30 06:00:00,17.2,10.2,63,15,24.1,100.07,Mostly Cloudy
3607,3607,2012-05-30 07:00:00,17.8,10.4,62,17,48.3,100.12,Mostly Cloudy
3608,3608,2012-05-30 08:00:00,19.1,10.7,58,19,48.3,100.11,Mainly Clear
3609,3609,2012-05-30 09:00:00,20.5,10.0,51,20,48.3,100.08,Clear
3610,3610,2012-05-30 10:00:00,21.5,10.2,49,15,48.3,100.1,Mainly Clear
3611,3611,2012-05-30 11:00:00,22.1,9.6,45,17,24.1,100.08,Clear
3612,3612,2012-05-30 12:00:00,23.1,8.2,38,35,48.3,100.06,Mainly Clear
3613,3613,2012-05-30 13:00:00,23.5,8.1,37,30,48.3,100.05,Clear
3614,3614,2012-05-30 14:00:00,23.5,8.5,38,32,48.3,100.04,Clear
3615,3615,2012-05-30 15:00:00,23.5,8.6,39,22,48.3,100.03,Mainly Clear
3616,3616,2012-05-30 16:00:00,23.7,8.3,37,15,48.3,100.0,Clear
3617,3617,2012-05-30 17:00:00,23.1,8.4,39,24,48.3,100.04,Clear
3618,3618,2012-05-30 18:00:00,22.4,8.4,41,20,48.3,100.06,Mainly Clear
3619,3619,2012-05-30 19:00:00,20.5,8.0,44,0,48.3,100.08,Mainly Clear
3620,3620,2012-05-30 20:00:00,18.3,8.1,51,6,48.3,100.13,Mainly Clear
3621,3621,2012-05-30 21:00:00,17.3,8.9,58,7,25.0,100.18,Mainly Clear
3622,3622,2012-05-30 22:00:00,17.4,9.5,60,9,25.0,100.17,Mostly Cloudy
3623,3623,2012-05-30 23:00:00,16.8,9.9,64,15,16.1,100.26,Rain Showers
3624,3624,2012-05-31 00:00:00,16.7,10.5,67,6,25.0,100.28,Mostly Cloudy
3625,3625,2012-05-31 01:00:00,16.3,10.8,70,7,25.0,100.31,Mostly Cloudy
3626,3626,2012-05-31 02:00:00,15.6,11.2,75,4,25.0,100.32,Mostly Cloudy
3627,3627,2012-05-31 03:00:00,15.5,9.5,67,9,25.0,100.3,Mostly Cloudy
3628,3628,2012-05-31 04:00:00,13.6,8.5,71,11,24.1,100.34,Mainly Clear
3629,3629,2012-05-31 05:00:00,13.9,8.2,68,9,48.3,100.44,Mainly Clear
3630,3630,2012-05-31 06:00:00,14.4,8.3,67,15,48.3,100.5,Mainly Clear
3631,3631,2012-05-31 07:00:00,13.1,8.9,76,15,24.1,100.61,Rain Showers
3632,3632,2012-05-31 08:00:00,14.9,8.6,66,13,24.1,100.64,Mainly Clear
3633,3633,2012-05-31 09:00:00,16.2,9.3,64,11,24.1,100.68,Mostly Cloudy
3634,3634,2012-05-31 10:00:00,15.9,8.7,62,9,24.1,100.71,Mostly Cloudy
3635,3635,2012-05-31 11:00:00,16.9,9.4,61,4,24.1,100.71,Mostly Cloudy
3636,3636,2012-05-31 12:00:00,16.8,8.6,58,0,48.3,100.72,Mostly Cloudy
3637,3637,2012-05-31 13:00:00,18.4,7.5,49,20,48.3,100.77,Mostly Cloudy
3638,3638,2012-05-31 14:00:00,18.8,7.5,48,19,48.3,100.78,Mostly Cloudy
3639,3639,2012-05-31 15:00:00,18.1,5.8,44,19,48.3,100.83,Mostly Cloudy
3640,3640,2012-05-31 16:00:00,18.8,6.0,43,19,48.3,100.85,Mainly Clear
3641,3641,2012-05-31 17:00:00,18.9,6.1,43,15,48.3,100.86,Mainly Clear
3642,3642,2012-05-31 18:00:00,18.4,4.6,40,22,48.3,100.91,Mainly Clear
3643,3643,2012-05-31 19:00:00,17.1,4.9,44,15,48.3,100.96,Mainly Clear
3644,3644,2012-05-31 20:00:00,14.8,3.7,47,13,24.1,101.01,Mainly Clear
3645,3645,2012-05-31 21:00:00,12.8,4.2,56,9,25.0,101.05,Clear
3646,3646,2012-05-31 22:00:00,12.5,4.4,58,7,25.0,101.13,Clear
3647,3647,2012-05-31 23:00:00,12.8,4.4,57,7,25.0,101.18,Clear
3648,3648,2012-06-01 00:00:00,11.6,3.8,59,6,25.0,101.21,Clear
3649,3649,2012-06-01 01:00:00,11.3,3.6,59,7,25.0,101.24,Clear
3650,3650,2012-06-01 02:00:00,10.8,3.1,59,9,25.0,101.27,Mainly Clear
3651,3651,2012-06-01 03:00:00,9.5,2.6,62,9,25.0,101.29,Mainly Clear
3652,3652,2012-06-01 04:00:00,10.1,2.8,60,11,48.3,101.34,Mostly Cloudy
3653,3653,2012-06-01 05:00:00,10.7,3.3,60,11,48.3,101.38,Cloudy
3654,3654,2012-06-01 06:00:00,11.6,4.5,62,7,48.3,101.42,Cloudy
3655,3655,2012-06-01 07:00:00,14.6,5.3,54,9,48.3,101.44,Cloudy
3656,3656,2012-06-01 08:00:00,15.2,3.5,45,11,48.3,101.48,Cloudy
3657,3657,2012-06-01 09:00:00,17.1,4.6,44,11,48.3,101.47,Cloudy
3658,3658,2012-06-01 10:00:00,18.5,1.2,31,20,48.3,101.44,Mostly Cloudy
3659,3659,2012-06-01 11:00:00,18.4,1.0,31,17,48.3,101.4,Cloudy
3660,3660,2012-06-01 12:00:00,19.3,3.3,35,20,48.3,101.32,Cloudy
3661,3661,2012-06-01 13:00:00,19.5,4.0,36,17,48.3,101.29,Cloudy
3662,3662,2012-06-01 14:00:00,19.6,4.6,37,15,48.3,101.21,Cloudy
3663,3663,2012-06-01 15:00:00,19.8,4.9,38,17,48.3,101.16,Cloudy
3664,3664,2012-06-01 16:00:00,20.2,4.3,35,22,48.3,101.04,Cloudy
3665,3665,2012-06-01 17:00:00,20.2,4.1,35,19,48.3,101.03,Cloudy
3666,3666,2012-06-01 18:00:00,20.1,4.6,36,19,24.1,100.98,Cloudy
3667,3667,2012-06-01 19:00:00,20.0,5.3,38,19,25.0,100.88,Cloudy
3668,3668,2012-06-01 20:00:00,19.9,4.9,37,20,25.0,100.86,Cloudy
3669,3669,2012-06-01 21:00:00,19.6,5.7,40,26,25.0,100.8,Rain
3670,3670,2012-06-01 22:00:00,19.6,6.5,42,20,25.0,100.77,Cloudy
3671,3671,2012-06-01 23:00:00,18.2,8.3,52,19,25.0,100.77,Rain
3672,3672,2012-06-02 00:00:00,17.5,8.2,54,15,19.3,100.78,Rain
3673,3673,2012-06-02 01:00:00,15.9,9.5,66,19,16.1,100.67,Rain
3674,3674,2012-06-02 02:00:00,14.6,8.7,68,19,16.1,100.58,Rain
3675,3675,2012-06-02 03:00:00,14.2,8.8,70,19,16.1,100.5,Rain
3676,3676,2012-06-02 04:00:00,13.6,9.5,76,24,12.9,100.43,Rain
3677,3677,2012-06-02 05:00:00,13.4,9.2,76,24,16.1,100.36,Rain
3678,3678,2012-06-02 06:00:00,13.6,9.5,76,19,16.1,100.44,Rain
3679,3679,2012-06-02 07:00:00,13.4,8.7,73,17,19.3,100.45,Rain
3680,3680,2012-06-02 08:00:00,12.3,9.7,84,11,19.3,100.48,Rain
3681,3681,2012-06-02 09:00:00,13.1,9.6,79,13,24.1,100.52,Cloudy
3682,3682,2012-06-02 10:00:00,12.5,9.8,84,7,8.0,100.48,"Rain,Fog"
3683,3683,2012-06-02 11:00:00,12.5,10.3,86,7,16.1,100.48,Rain
3684,3684,2012-06-02 12:00:00,12.8,10.5,86,9,24.1,100.43,Rain
3685,3685,2012-06-02 13:00:00,13.1,10.9,86,11,24.1,100.43,Rain
3686,3686,2012-06-02 14:00:00,13.6,10.9,84,20,24.1,100.39,Cloudy
3687,3687,2012-06-02 15:00:00,13.9,10.9,82,17,24.1,100.38,Cloudy
3688,3688,2012-06-02 16:00:00,13.5,11.0,85,22,24.1,100.35,Rain
3689,3689,2012-06-02 17:00:00,13.5,11.0,85,17,24.1,100.36,Drizzle
3690,3690,2012-06-02 18:00:00,13.1,11.1,88,19,6.4,100.38,"Drizzle,Fog"
3691,3691,2012-06-02 19:00:00,13.2,11.2,88,9,4.8,100.4,"Drizzle,Fog"
3692,3692,2012-06-02 20:00:00,12.9,10.5,85,4,19.3,100.4,Drizzle
3693,3693,2012-06-02 21:00:00,13.0,10.7,86,7,25.0,100.41,Cloudy
3694,3694,2012-06-02 22:00:00,13.3,10.4,83,15,25.0,100.34,Cloudy
3695,3695,2012-06-02 23:00:00,13.1,10.2,83,6,25.0,100.33,Cloudy
3696,3696,2012-06-03 00:00:00,13.1,10.4,84,9,19.3,100.33,Cloudy
3697,3697,2012-06-03 01:00:00,13.0,10.9,87,6,19.3,100.29,Cloudy
3698,3698,2012-06-03 02:00:00,13.1,11.0,87,6,19.3,100.26,Cloudy
3699,3699,2012-06-03 03:00:00,12.9,10.6,86,4,19.3,100.23,Cloudy
3700,3700,2012-06-03 04:00:00,13.0,10.4,84,7,19.3,100.2,Mostly Cloudy
3701,3701,2012-06-03 05:00:00,12.0,9.9,87,0,19.3,100.24,Mostly Cloudy
3702,3702,2012-06-03 06:00:00,13.6,10.9,84,9,24.1,100.25,Mostly Cloudy
3703,3703,2012-06-03 07:00:00,14.6,10.5,76,15,24.1,100.25,Mostly Cloudy
3704,3704,2012-06-03 08:00:00,14.9,10.3,74,13,24.1,100.24,Mostly Cloudy
3705,3705,2012-06-03 09:00:00,16.1,10.9,71,11,24.1,100.2,Mostly Cloudy
3706,3706,2012-06-03 10:00:00,17.7,11.0,65,13,48.3,100.19,Mostly Cloudy
3707,3707,2012-06-03 11:00:00,18.2,10.4,60,11,48.3,100.14,Mostly Cloudy
3708,3708,2012-06-03 12:00:00,18.4,9.8,57,9,48.3,100.12,Mostly Cloudy
3709,3709,2012-06-03 13:00:00,18.9,10.8,59,24,48.3,100.07,Mostly Cloudy
3710,3710,2012-06-03 14:00:00,19.6,10.5,56,24,48.3,100.04,Mostly Cloudy
3711,3711,2012-06-03 15:00:00,18.5,10.4,59,24,48.3,100.02,Mostly Cloudy
3712,3712,2012-06-03 16:00:00,18.3,10.3,60,33,48.3,100.01,Mostly Cloudy
3713,3713,2012-06-03 17:00:00,17.8,9.3,57,30,48.3,100.03,Mostly Cloudy
3714,3714,2012-06-03 18:00:00,16.6,9.6,63,30,48.3,100.13,Mostly Cloudy
3715,3715,2012-06-03 19:00:00,15.3,8.8,65,28,25.0,100.2,Mostly Cloudy
3716,3716,2012-06-03 20:00:00,14.1,7.4,64,32,25.0,100.27,Mostly Cloudy
3717,3717,2012-06-03 21:00:00,13.8,7.1,64,28,25.0,100.29,Mostly Cloudy
3718,3718,2012-06-03 22:00:00,13.6,6.9,64,30,25.0,100.32,Cloudy
3719,3719,2012-06-03 23:00:00,13.3,6.9,65,30,25.0,100.31,Mostly Cloudy
3720,3720,2012-06-04 00:00:00,12.8,7.3,69,33,25.0,100.34,Cloudy
3721,3721,2012-06-04 01:00:00,11.9,7.7,75,19,25.0,100.33,Rain
3722,3722,2012-06-04 02:00:00,11.8,7.6,75,22,25.0,100.32,Cloudy
3723,3723,2012-06-04 03:00:00,11.5,7.5,76,24,25.0,100.32,Rain Showers
3724,3724,2012-06-04 04:00:00,11.0,7.6,80,22,19.3,100.38,Rain
3725,3725,2012-06-04 05:00:00,11.0,8.0,82,20,19.3,100.41,Rain
3726,3726,2012-06-04 06:00:00,11.3,8.2,81,22,24.1,100.46,Cloudy
3727,3727,2012-06-04 07:00:00,11.7,7.9,77,33,24.1,100.5,Rain
3728,3728,2012-06-04 08:00:00,11.6,8.3,80,24,19.3,100.55,Rain
3729,3729,2012-06-04 09:00:00,11.6,7.7,77,28,24.1,100.6,Rain
3730,3730,2012-06-04 10:00:00,12.4,7.5,72,28,24.1,100.65,Cloudy
3731,3731,2012-06-04 11:00:00,13.1,7.4,68,28,24.1,100.67,Cloudy
3732,3732,2012-06-04 12:00:00,13.0,7.3,68,22,24.1,100.7,Rain Showers
3733,3733,2012-06-04 13:00:00,13.0,7.4,69,24,24.1,100.75,Rain
3734,3734,2012-06-04 14:00:00,14.3,7.3,63,20,24.1,100.73,Cloudy
3735,3735,2012-06-04 15:00:00,15.8,7.2,57,22,24.1,100.73,Mostly Cloudy
3736,3736,2012-06-04 16:00:00,16.0,6.6,54,22,24.1,100.71,Mostly Cloudy
3737,3737,2012-06-04 17:00:00,15.9,7.1,56,22,24.1,100.71,Mostly Cloudy
3738,3738,2012-06-04 18:00:00,16.5,7.1,54,15,48.3,100.74,Mostly Cloudy
3739,3739,2012-06-04 19:00:00,16.3,6.9,54,20,48.3,100.77,Mostly Cloudy
3740,3740,2012-06-04 20:00:00,15.6,7.3,58,13,24.1,100.8,Mainly Clear
3741,3741,2012-06-04 21:00:00,14.5,7.5,63,15,25.0,100.84,Mainly Clear
3742,3742,2012-06-04 22:00:00,14.6,6.4,58,17,25.0,100.83,Mostly Cloudy
3743,3743,2012-06-04 23:00:00,14.6,5.9,56,11,25.0,100.83,Cloudy
3744,3744,2012-06-05 00:00:00,13.8,4.9,55,13,25.0,100.83,Cloudy
3745,3745,2012-06-05 01:00:00,13.7,7.1,64,15,25.0,100.82,Cloudy
3746,3746,2012-06-05 02:00:00,12.7,6.3,65,13,25.0,100.82,Mostly Cloudy
3747,3747,2012-06-05 03:00:00,11.4,6.7,73,15,25.0,100.85,Mainly Clear
3748,3748,2012-06-05 04:00:00,10.7,6.5,75,13,24.1,100.87,Mainly Clear
3749,3749,2012-06-05 05:00:00,10.7,6.7,76,13,24.1,100.94,Mainly Clear
3750,3750,2012-06-05 06:00:00,12.6,7.1,69,15,48.3,100.98,Mainly Clear
3751,3751,2012-06-05 07:00:00,14.3,6.5,59,20,48.3,100.99,Mainly Clear
3752,3752,2012-06-05 08:00:00,15.9,6.4,53,26,48.3,101.02,Mainly Clear
3753,3753,2012-06-05 09:00:00,17.4,6.9,50,19,48.3,101.01,Clear
3754,3754,2012-06-05 10:00:00,18.8,6.7,45,19,48.3,100.99,Mainly Clear
3755,3755,2012-06-05 11:00:00,19.8,5.3,39,26,48.3,101.0,Mainly Clear
3756,3756,2012-06-05 12:00:00,20.3,4.9,36,20,48.3,100.97,Mainly Clear
3757,3757,2012-06-05 13:00:00,21.3,3.8,32,15,48.3,100.93,Mainly Clear
3758,3758,2012-06-05 14:00:00,21.6,4.4,32,7,48.3,100.88,Mainly Clear
3759,3759,2012-06-05 15:00:00,21.9,4.4,32,11,48.3,100.83,Mainly Clear
3760,3760,2012-06-05 16:00:00,22.6,6.2,35,4,48.3,100.75,Mainly Clear
3761,3761,2012-06-05 17:00:00,22.2,5.4,34,15,48.3,100.74,Mostly Cloudy
3762,3762,2012-06-05 18:00:00,20.9,6.8,40,11,48.3,100.76,Rain Showers
3763,3763,2012-06-05 19:00:00,17.0,10.3,65,22,24.1,100.89,Rain Showers
3764,3764,2012-06-05 20:00:00,15.6,11.6,77,9,24.1,100.88,Rain Showers
3765,3765,2012-06-05 21:00:00,16.3,9.9,66,6,25.0,100.9,Mostly Cloudy
3766,3766,2012-06-05 22:00:00,14.7,11.0,78,7,25.0,100.95,Mostly Cloudy
3767,3767,2012-06-05 23:00:00,16.4,9.3,63,15,25.0,100.97,Mostly Cloudy
3768,3768,2012-06-06 00:00:00,14.7,7.9,64,9,25.0,100.97,Mostly Cloudy
3769,3769,2012-06-06 01:00:00,13.8,7.2,64,9,25.0,100.97,Mostly Cloudy
3770,3770,2012-06-06 02:00:00,12.6,6.6,67,11,25.0,100.99,Mostly Cloudy
